**********START:02/15/2023 21:34:38**********
{'time': '02/16/2023 00:59:16', 'total_params': 1, 'ratio': 43.0, 'loss': 0.0, 'accuracy': 0.32258063554763794, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.642559826374054, 'prc': 0.4275304675102234, 'seed': 2}
{'time': '02/16/2023 00:59:48', 'total_params': 1, 'ratio': 1.0, 'loss': 0.0, 'accuracy': 0.6333333253860474, 'f1score': 0.23529410362243652, 'precision': 1.0, 'recall': 0.13333334028720856, 'auc': 0.8216667175292969, 'prc': 0.6711153388023376, 'seed': 3}
{'time': '02/16/2023 01:00:52', 'total_params': 1, 'ratio': 4.0, 'loss': 0.0, 'accuracy': 0.42424243688583374, 'f1score': 0.4819999635219574, 'precision': 0.9999999403953552, 'recall': 0.3177083432674408, 'auc': 0.6492194533348083, 'prc': 0.48243391513824463, 'seed': 3}
{'time': '02/16/2023 01:02:54', 'total_params': 1, 'ratio': 7.0, 'loss': 0.0, 'accuracy': 0.32258063554763794, 'f1score': 0.4878048598766327, 'precision': 1.0, 'recall': 0.32258063554763794, 'auc': 0.6841831803321838, 'prc': 0.5519065856933594, 'seed': 3}
{'time': '02/16/2023 01:05:08', 'total_params': 1, 'ratio': 10.0, 'loss': 0.0, 'accuracy': 0.3214285671710968, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.6007653474807739, 'prc': 0.40490326285362244, 'seed': 3}
{'time': '02/16/2023 01:08:15', 'total_params': 1, 'ratio': 13.0, 'loss': 0.0, 'accuracy': 0.37037035822868347, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.6762688159942627, 'prc': 0.47900915145874023, 'seed': 3}
{'time': '02/16/2023 01:11:00', 'total_params': 1, 'ratio': 16.0, 'loss': 0.0, 'accuracy': 0.3181818127632141, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.6973140835762024, 'prc': 0.5191148519515991, 'seed': 3}
{'time': '02/16/2023 01:16:24', 'total_params': 1, 'ratio': 19.0, 'loss': 0.0, 'accuracy': 0.3181818127632141, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.7236570119857788, 'prc': 0.6223554015159607, 'seed': 3}
{'time': '02/16/2023 01:19:19', 'total_params': 1, 'ratio': 22.0, 'loss': 0.0, 'accuracy': 0.3243243098258972, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.6393353343009949, 'prc': 0.4453757703304291, 'seed': 3}
{'time': '02/16/2023 01:22:53', 'total_params': 1, 'ratio': 25.0, 'loss': 0.0, 'accuracy': 0.3333333432674408, 'f1score': 0.4999999701976776, 'precision': 0.9999999403953552, 'recall': 0.3333333432674408, 'auc': 0.6505968570709229, 'prc': 0.47756099700927734, 'seed': 3}
{'time': '02/16/2023 01:28:24', 'total_params': 1, 'ratio': 28.0, 'loss': 0.0, 'accuracy': 0.3333333432674408, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.6796875, 'prc': 0.4490702450275421, 'seed': 3}
{'time': '02/16/2023 01:33:21', 'total_params': 1, 'ratio': 31.0, 'loss': 0.0, 'accuracy': 0.3333333432674408, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.6271604299545288, 'prc': 0.4185866117477417, 'seed': 3}
{'time': '02/16/2023 01:41:16', 'total_params': 1, 'ratio': 34.0, 'loss': 0.0, 'accuracy': 0.32258063554763794, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.6090010404586792, 'prc': 0.4132401943206787, 'seed': 3}
{'time': '02/16/2023 01:48:04', 'total_params': 1, 'ratio': 37.0, 'loss': 0.0, 'accuracy': 0.3199999928474426, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.5619999766349792, 'prc': 0.3591478765010834, 'seed': 3}
{'time': '02/16/2023 01:55:38', 'total_params': 1, 'ratio': 40.0, 'loss': 0.0, 'accuracy': 0.3333333432674408, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.5999348759651184, 'prc': 0.40485382080078125, 'seed': 3}
{'time': '02/16/2023 02:02:20', 'total_params': 1, 'ratio': 43.0, 'loss': 0.0, 'accuracy': 0.3333333432674408, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.6762153506278992, 'prc': 0.49399125576019287, 'seed': 3}
{'time': '02/16/2023 02:02:58', 'total_params': 1, 'ratio': 1.0, 'loss': 0.0, 'accuracy': 0.6666666865348816, 'f1score': 0.2857142686843872, 'precision': 1.0, 'recall': 0.1666666716337204, 'auc': 0.800000011920929, 'prc': 0.6290302872657776, 'seed': 4}
{'time': '02/16/2023 02:04:25', 'total_params': 1, 'ratio': 4.0, 'loss': 0.0, 'accuracy': 0.4166666567325592, 'f1score': 0.4940944314002991, 'precision': 1.0, 'recall': 0.328125, 'auc': 0.7079474925994873, 'prc': 0.5251801013946533, 'seed': 4}
{'time': '02/16/2023 02:06:00', 'total_params': 1, 'ratio': 7.0, 'loss': 0.0, 'accuracy': 0.35483869910240173, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.6290321946144104, 'prc': 0.4671034812927246, 'seed': 4}
{'time': '02/16/2023 02:08:13', 'total_params': 1, 'ratio': 10.0, 'loss': 0.0, 'accuracy': 0.3333333432674408, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.6302083134651184, 'prc': 0.41671204566955566, 'seed': 4}
{'time': '02/16/2023 02:10:58', 'total_params': 1, 'ratio': 13.0, 'loss': 0.0, 'accuracy': 0.29032257199287415, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.6217482089996338, 'prc': 0.40744566917419434, 'seed': 4}
{'time': '02/16/2023 02:13:45', 'total_params': 1, 'ratio': 16.0, 'loss': 0.0, 'accuracy': 0.35483869910240173, 'f1score': 0.4878048598766327, 'precision': 1.0, 'recall': 0.32258063554763794, 'auc': 0.7070759534835815, 'prc': 0.5013114809989929, 'seed': 4}
{'time': '02/16/2023 02:17:05', 'total_params': 1, 'ratio': 19.0, 'loss': 0.0, 'accuracy': 0.3199999928474426, 'f1score': 0.4848484694957733, 'precision': 1.0, 'recall': 0.3199999928474426, 'auc': 0.6787999868392944, 'prc': 0.4902755618095398, 'seed': 4}
{'time': '02/16/2023 02:20:36', 'total_params': 1, 'ratio': 22.0, 'loss': 0.0, 'accuracy': 0.32258063554763794, 'f1score': 0.4878048598766327, 'precision': 1.0, 'recall': 0.32258063554763794, 'auc': 0.6789802312850952, 'prc': 0.46578970551490784, 'seed': 4}
{'time': '02/16/2023 02:24:03', 'total_params': 1, 'ratio': 25.0, 'loss': 0.0, 'accuracy': 0.32258063554763794, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.6285119652748108, 'prc': 0.4521755874156952, 'seed': 4}
{'time': '02/16/2023 02:30:44', 'total_params': 1, 'ratio': 28.0, 'loss': 0.0, 'accuracy': 0.3235294222831726, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.6390570402145386, 'prc': 0.41743677854537964, 'seed': 4}
{'time': '02/16/2023 02:39:45', 'total_params': 1, 'ratio': 31.0, 'loss': 0.0, 'accuracy': 0.3333333432674408, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.6579861044883728, 'prc': 0.5132407546043396, 'seed': 4}
{'time': '02/16/2023 02:46:36', 'total_params': 1, 'ratio': 34.0, 'loss': 0.0, 'accuracy': 0.3333333432674408, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.6632652878761292, 'prc': 0.44841885566711426, 'seed': 4}
{'time': '02/16/2023 02:54:41', 'total_params': 1, 'ratio': 37.0, 'loss': 0.0, 'accuracy': 0.3333333432674408, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.6037325859069824, 'prc': 0.3827351927757263, 'seed': 4}
{'time': '02/16/2023 03:02:14', 'total_params': 1, 'ratio': 40.0, 'loss': 0.0, 'accuracy': 0.3333333432674408, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.6337867379188538, 'prc': 0.41278010606765747, 'seed': 4}
{'time': '02/16/2023 03:06:50', 'total_params': 1, 'ratio': 43.0, 'loss': 0.0, 'accuracy': 0.3199999928474426, 'f1score': 0.4999999701976776, 'precision': 1.0, 'recall': 0.3333333432674408, 'auc': 0.6636000871658325, 'prc': 0.4850904047489166, 'seed': 4}
